amount,project,uuid,provider,currency,Legal entity,operation_type,date,buyer_country
572.72,projectC,11295ea9-f882-4b0f-98f8-a84f984f73e9,FS Acquiring,USD,proto-m,DISCOUNT_FEE,10/20/2025,TN
668.96,projectB,7b02a878-452c-42f0-b331-3ba4e8945a03,Nuvei,USD,metasa-m,SALE,10/1/2025,BD
380.08,projectB,7706cb2b-0d16-4b6b-91a9-4c3a42cc24b8,Nuvei,GBP,metasa-m,CHARGEBACK,10/1/2025,MP
458.28,projectB,962af81d-16c4-491a-b7b0-303d8a66de05,stripe,EUR,metasa-m,REFUND,10/17/2025,JM
13.62,projectC,1b99f01a-981f-44a2-8553-91558a7531a7,FS Acquiring,EUR,ninja corp,DISCOUNT_FEE,10/22/2025,EC
243.31,projectA,76e7e67a-0cf9-4d83-b6e2-95176a8e5d2e,FS Acquiring,USD,metasa-m,DISCOUNT_FEE,10/22/2025,KN
373.95,projectB,b1bb3e28-95fb-423c-8b8a-bbbff0847f50,stripe,GBP,proto-m,CHARGEBACK,10/29/2025,GU
94.37,projectC,d177ddf2-b354-41f2-a09a-5165e939d832,Nuvei,GBP,proto-m,DISCOUNT_FEE,10/20/2025,MK
278.12,projectB,d1fe5e3d-6cb5-4f33-aced-e39ac50ab1b7,Nuvei,GBP,ninja corp,REFUND,10/14/2025,PM
770,projectB,ac131dcd-6317-4d5b-8e98-2303509f4a65,FS Acquiring,GBP,proto-m,SALE,10/3/2025,FM
247.72,projectC,3592ec72-e336-40af-8516-172f93d50b5f,stripe,EUR,metasa-m,VAT,10/6/2025,PF
82.26,projectC,2b56d820-19d2-4df7-b023-5e8ae700995f,stripe,GBP,ninja corp,VAT,10/15/2025,LB
259.32,projectA,950cac15-795b-4618-952d-514bd7239cba,stripe,EUR,ninja corp,REFUND,10/21/2025,BR
823.9,projectC,81dedb44-b7e6-4211-8267-6e9bd8e83034,Nuvei,GBP,ninja corp,CAPTURE_FEE,10/17/2025,TR
153.35,projectC,bf2f4180-9b22-4830-a5d2-de47dc7c6417,stripe,GBP,proto-m,DISCOUNT_FEE,10/20/2025,TR
593.96,projectC,240ae28a-fbf9-4803-91c8-bd48fc51a858,stripe,GBP,metasa-m,REFUND,10/4/2025,NC
894.07,projectC,29c7845c-27f5-49bb-a28d-7641af30cfe0,FS Acquiring,EUR,proto-m,VAT,10/27/2025,AD
682.7,projectA,8469edc4-3f39-45af-b99b-ebefaeedd600,stripe,GBP,proto-m,DISCOUNT_FEE,10/15/2025,BE
988.77,projectC,eda2fa66-29dc-4421-80f0-0a766a204b47,Nuvei,EUR,ninja corp,CAPTURE_FEE,10/18/2025,ME
585.11,projectC,4333f0b2-8c3d-4675-894b-8dab1f3e1636,FS Acquiring,USD,ninja corp,CHARGEBACK,10/21/2025,FO
430.35,projectC,ba93705a-19c0-4236-b707-62bb6c706fe2,stripe,EUR,metasa-m,DISCOUNT_FEE,10/9/2025,TN
266.08,projectA,2937aaf7-10dd-487f-9ee7-c59ddf9d2dfd,Nuvei,EUR,proto-m,DISCOUNT_FEE,10/6/2025,GT
748.85,projectB,8f9dffca-6fd8-4112-8b61-abe82cadb151,Nuvei,USD,ninja corp,CAPTURE_FEE,10/23/2025,NZ
371.44,projectB,70051034-aeaa-4b19-bf7f-35a3cfe7c1b8,FS Acquiring,USD,ninja corp,VAT,10/11/2025,LC
819.2,projectA,d8e25e26-5871-4812-97b5-e96db0fb9e31,Nuvei,USD,metasa-m,VAT,10/20/2025,MR
839.86,projectC,c5ed4514-ee92-4fa2-801e-d4ef0ad12bd5,FS Acquiring,GBP,proto-m,CHARGEBACK,10/9/2025,WF
242.31,projectA,c8b8acef-b69d-4676-9b50-7a005e9cb60c,FS Acquiring,EUR,ninja corp,CAPTURE_FEE,10/12/2025,IN
280.56,projectA,148e8b56-61be-4c53-b2d8-ed57ac4aa589,FS Acquiring,USD,metasa-m,REFUND,10/12/2025,AO
634.39,projectB,0c9489d4-04f4-4daa-a9fa-fc9ee3199de1,stripe,GBP,ninja corp,DISCOUNT_FEE,10/31/2025,TD
170.95,projectB,63458243-05df-4399-98a6-cfc6ca54e30d,stripe,GBP,ninja corp,VAT,10/24/2025,AU
525.65,projectA,46130715-cb97-451d-ae38-11037578f51f,stripe,GBP,proto-m,SALE,10/3/2025,AF
439.7,projectC,a99e3370-4c7c-476d-8f3e-26bf09a058c7,Nuvei,EUR,proto-m,CHARGEBACK,10/25/2025,FI
406.11,projectC,b760488c-158a-4983-8541-dcc4d0ef0043,stripe,EUR,ninja corp,REFUND,10/10/2025,KR
488.23,projectA,57da2207-e41b-4271-bff6-8d47d853f0af,stripe,USD,proto-m,VAT,10/7/2025,LT
87.23,projectA,2ef4b689-3057-4dc9-af78-9c4b2a186964,FS Acquiring,GBP,proto-m,DISCOUNT_FEE,10/7/2025,GG
581.95,projectB,b66bb2e0-3b13-4de8-b1bb-5773c3a6af72,Nuvei,GBP,proto-m,SALE,10/22/2025,LY
49.03,projectB,4f91c825-72bf-4e3a-9a0a-f323621ab805,Nuvei,GBP,metasa-m,VAT,10/9/2025,MQ
424.34,projectB,1835a767-6981-4788-a6f2-6a0ff1bb5593,stripe,GBP,ninja corp,VAT,10/7/2025,US
317.62,projectA,de327ddf-797f-4c6d-b266-6e74a7df105a,stripe,USD,metasa-m,DISCOUNT_FEE,10/13/2025,VC
178.91,projectB,a3fa08b2-43ca-4275-9315-1102baff447e,stripe,EUR,metasa-m,CAPTURE_FEE,10/26/2025,ID
309.65,projectC,5621e5ec-1cb8-436d-9611-304e2c528ddf,stripe,USD,metasa-m,CHARGEBACK,10/21/2025,LB
221.88,projectB,7c678150-d495-4d94-b0f3-bc3b1c2f5a11,stripe,GBP,metasa-m,DISCOUNT_FEE,10/31/2025,BQ
362.79,projectC,ee4459e0-a682-455c-b439-64d765728167,Nuvei,EUR,metasa-m,CAPTURE_FEE,10/7/2025,BW
608.43,projectC,464a36bd-da77-47a8-bc88-466da0eaa835,stripe,EUR,metasa-m,CHARGEBACK,10/4/2025,EE
7.86,projectC,ec18e13a-fe1f-4b8d-9b45-8a222a6905a8,Nuvei,EUR,metasa-m,CHARGEBACK,10/25/2025,DE
941.32,projectC,bfd3f6e6-a0b0-4aef-a351-8d0b2b2680f5,FS Acquiring,USD,metasa-m,REFUND,10/5/2025,LA
554.7,projectC,ee03a4cd-813c-4f9a-af3e-ac2b9d47c48e,FS Acquiring,GBP,proto-m,CHARGEBACK,10/6/2025,SG
170.77,projectB,551da45a-90ad-4426-804f-ea4e59c1ad5a,Nuvei,GBP,proto-m,CHARGEBACK,10/5/2025,CY
24.75,projectB,50ca7fb0-ab17-4f59-8e6b-c3875a1c39f1,FS Acquiring,USD,metasa-m,SALE,10/19/2025,PF
151.8,projectA,9f052feb-b741-4f52-bd12-8242c79ac8f3,FS Acquiring,EUR,metasa-m,CAPTURE_FEE,10/26/2025,RW
478.56,projectB,e1adbc09-e6b0-441c-b95b-b4881e1b1d53,stripe,GBP,proto-m,VAT,10/25/2025,BG
522.33,projectC,14ef00a6-7959-4c53-a854-5ab25d00b3cf,Nuvei,GBP,metasa-m,VAT,10/7/2025,LY
245.34,projectB,21f004e4-7d68-46bc-97d0-df5122373ff8,stripe,USD,metasa-m,CHARGEBACK,10/4/2025,CL
650.8,projectC,5d145abb-0949-4e43-aaa1-bc679e48b868,Nuvei,USD,metasa-m,DISCOUNT_FEE,10/28/2025,ZW
729.94,projectC,7602c88c-a36e-459b-80cd-bfa5f9b0a5e4,stripe,EUR,ninja corp,SALE,10/9/2025,VC
57.63,projectC,44961a1a-d334-4a6b-a348-e0ad4e298131,Nuvei,GBP,metasa-m,SALE,10/9/2025,MA
663.77,projectB,8c9704e7-7ecd-4aa3-97ba-318d800276c2,stripe,GBP,ninja corp,REFUND,10/5/2025,NL
395.49,projectB,2c3f8558-669d-4e4c-a9bd-0ed1e016eb00,stripe,USD,metasa-m,SALE,10/22/2025,ZM
758.55,projectC,7fbe2bc5-6908-447e-815b-74c1e8e877e2,Nuvei,EUR,proto-m,CHARGEBACK,10/11/2025,MQ
855.04,projectB,48ca9bb9-a56b-438d-9747-2021fa00b730,FS Acquiring,USD,metasa-m,DISCOUNT_FEE,10/29/2025,PR
5.43,projectC,1a12290d-e4f1-4f86-8c78-eec3761b13eb,FS Acquiring,GBP,metasa-m,VAT,10/24/2025,BE
782.56,projectA,1643fff9-c496-409d-9c99-b34f2f148af8,stripe,GBP,metasa-m,VAT,10/7/2025,SV
506.18,projectC,4661b9c8-4684-4a69-a1ef-a8555208beb4,Nuvei,EUR,ninja corp,VAT,10/18/2025,UA
539,projectB,3cf41cc5-495f-4a63-a665-5f1f39181c7c,Nuvei,EUR,metasa-m,REFUND,10/22/2025,BE
387.03,projectC,eced8c89-890e-4be7-9415-decbb0c418f1,Nuvei,GBP,ninja corp,REFUND,10/4/2025,SY
768.38,projectA,618d0d01-7075-4def-bef9-d2578fd8a93f,FS Acquiring,USD,metasa-m,SALE,10/21/2025,KH
837.12,projectA,753280c5-74ca-4e18-b612-d05f0decf3bb,FS Acquiring,EUR,metasa-m,CAPTURE_FEE,10/9/2025,TJ
986.19,projectB,b8e8d82f-5085-4792-bd47-74ce22ce85cf,FS Acquiring,EUR,proto-m,CHARGEBACK,10/9/2025,TD
268.39,projectA,32e05406-9d45-46a3-be4a-383abbc47418,Nuvei,GBP,metasa-m,CAPTURE_FEE,10/15/2025,KW
144.8,projectB,fbaefa0c-9b1a-4da6-a538-99eafbe960d6,FS Acquiring,GBP,ninja corp,CHARGEBACK,10/1/2025,ES
30.07,projectB,11abacc6-c201-4fe2-a665-96be6e32b0d2,FS Acquiring,EUR,ninja corp,REFUND,10/18/2025,VN
366.35,projectB,bba28c31-7449-498a-a4c9-f937b0eca83a,stripe,GBP,metasa-m,DISCOUNT_FEE,10/13/2025,KI
1.46,projectB,a1f24bcd-553a-4e01-bf8c-13fbdd7f09ac,Nuvei,GBP,ninja corp,REFUND,10/12/2025,CL
530.14,projectC,40c48d75-b844-46bb-b450-c75407a9c40c,FS Acquiring,GBP,metasa-m,CHARGEBACK,10/20/2025,TW
977.61,projectB,11daa186-6057-4fd6-a9e7-e5c0c83abf5a,FS Acquiring,EUR,ninja corp,REFUND,10/8/2025,MZ
296.79,projectC,dabfa8b4-d4de-4e19-a9da-a96f1e918127,FS Acquiring,EUR,ninja corp,CHARGEBACK,10/7/2025,CZ
707.67,projectB,4ae7d403-26ff-4e23-8148-5e9ba12ca2ac,Nuvei,EUR,metasa-m,VAT,10/23/2025,LU
880.26,projectC,1ff1c868-37c6-4326-99e8-7886fceada4a,FS Acquiring,USD,ninja corp,REFUND,10/13/2025,SK
905.61,projectA,d8d7a871-0ed5-4b81-b2f0-a9d5b41513ff,Nuvei,USD,ninja corp,CAPTURE_FEE,10/16/2025,GP
624.79,projectC,119c0f82-5e8b-44e9-976a-0820014e2f2f,Nuvei,USD,ninja corp,SALE,10/5/2025,UZ
632.17,projectC,7e4273ae-895b-4225-b1e5-e5abe544482b,stripe,USD,metasa-m,REFUND,10/16/2025,DE
395.45,projectC,9af6f2d6-5b50-41a4-8c3d-c31f6186c24f,FS Acquiring,EUR,metasa-m,CAPTURE_FEE,10/15/2025,AZ
182.15,projectC,d4410223-9d65-4450-8616-5e2364beac23,stripe,EUR,metasa-m,REFUND,10/18/2025,HM
343.49,projectA,216c259d-893b-4f0b-82a6-5596944cfc5f,stripe,GBP,proto-m,REFUND,10/8/2025,TV
512.49,projectA,176e13a8-6e8d-4cfc-bad6-424b1764e915,Nuvei,USD,metasa-m,REFUND,10/16/2025,LS
922.5,projectC,492895a0-15ca-4a55-93a1-77d0004eb675,Nuvei,EUR,proto-m,CHARGEBACK,10/23/2025,GW
512.77,projectA,bfe0d0c9-a836-4afd-9478-f410fdc82e1c,stripe,GBP,metasa-m,CAPTURE_FEE,10/31/2025,ZA
9.4,projectA,b8a05495-c1e4-47ef-bd7a-423c4d48b092,FS Acquiring,USD,ninja corp,REFUND,10/10/2025,CV
280.47,projectB,43665666-8b04-4498-86b4-88e040655d2f,Nuvei,EUR,ninja corp,REFUND,10/31/2025,AQ
990.34,projectA,98c69117-7d2c-4e93-a55c-b784cb461dd2,FS Acquiring,USD,proto-m,CHARGEBACK,10/3/2025,MF
746.87,projectA,320a21fb-8d87-4af5-b3ef-09f849b49c9d,Nuvei,USD,metasa-m,VAT,10/23/2025,VI
691.23,projectA,877e00cf-9f6d-4deb-8296-50c0eea8b789,stripe,USD,metasa-m,SALE,10/18/2025,JM
97.34,projectA,956dc1eb-7f95-4bc0-85c1-d7bde38a21cd,Nuvei,EUR,ninja corp,VAT,10/20/2025,AU
511,projectC,790a5cb0-f106-4eb1-b64e-eb653206ebd8,Nuvei,EUR,ninja corp,SALE,10/8/2025,OM
450.88,projectC,6d0ae628-13ea-4488-bbcd-9c8523a4f9b5,stripe,GBP,ninja corp,CAPTURE_FEE,10/16/2025,LU
60.59,projectA,ffc74484-7684-42f2-9fb8-292693710261,stripe,GBP,proto-m,CHARGEBACK,10/7/2025,DZ
553.02,projectC,7dd4b35b-b56b-469c-817e-9c274b5fc004,stripe,EUR,ninja corp,DISCOUNT_FEE,10/24/2025,MA
951.85,projectC,9c4dfa94-292c-4f94-b201-9289d2b096f5,Nuvei,GBP,metasa-m,REFUND,10/4/2025,RU
490.22,projectB,08657734-43ba-4c25-8f61-e97f27409333,stripe,USD,proto-m,VAT,10/7/2025,NU
125.74,projectA,e1d6cb98-3e38-44da-b073-0c1e9ed70e00,Nuvei,USD,proto-m,VAT,10/4/2025,NG
585.51,projectC,2a485cb2-5461-443d-b4ba-efada0740dce,Nuvei,USD,metasa-m,CHARGEBACK,10/4/2025,ST
186.31,projectC,e5579f28-1d5c-46c1-a8f8-e9c5d0efbc99,Nuvei,EUR,proto-m,CAPTURE_FEE,10/2/2025,SX
20.05,projectA,5d3b9e0d-154d-4d88-8012-24f84cac127e,FS Acquiring,EUR,metasa-m,DISCOUNT_FEE,10/18/2025,GE
340.34,projectA,ff421498-ea1e-4817-9894-668b620f211f,Nuvei,USD,ninja corp,CAPTURE_FEE,10/16/2025,SA
83.09,projectB,fc9983ba-8bcd-440b-a107-d28e3c12608b,Nuvei,EUR,ninja corp,CAPTURE_FEE,10/9/2025,VE
445.7,projectC,03999ae6-2cb5-49d4-ad06-dd9fed712e0a,FS Acquiring,USD,ninja corp,SALE,10/28/2025,SR
515.67,projectB,2f943806-9dc4-458a-a36e-93cc3693d85f,FS Acquiring,EUR,proto-m,REFUND,10/2/2025,LU
165,projectB,f9e74d96-a386-4d6f-9c28-c43debc8c3a9,stripe,USD,ninja corp,VAT,10/5/2025,MZ
523.44,projectA,0f63422f-2b7d-4529-9d2d-0241c2b3113f,FS Acquiring,EUR,ninja corp,REFUND,10/23/2025,AQ
940.4,projectB,9af62f8a-5b81-4a2e-8a12-ef0a69a06822,FS Acquiring,EUR,metasa-m,CAPTURE_FEE,10/12/2025,GF
794.45,projectC,7df10332-51e2-4638-ace9-ea466a71dfec,FS Acquiring,USD,ninja corp,REFUND,10/21/2025,MN
599.48,projectB,7b980ec8-056b-4b64-9b0a-92265cf440e7,Nuvei,GBP,ninja corp,CHARGEBACK,10/24/2025,BA
396.01,projectC,2c1eca99-e746-442d-8ad1-6cdf3aaf9a48,FS Acquiring,GBP,proto-m,SALE,10/20/2025,RU
492.71,projectB,83c47495-d78b-45b1-a001-7c4ccd83a75a,Nuvei,USD,metasa-m,CHARGEBACK,10/5/2025,BH
941.15,projectC,92d850d0-84be-4dc4-a711-ac5fc3a3ddcb,stripe,USD,ninja corp,REFUND,10/21/2025,GA
776.97,projectA,8356a105-b0cb-408d-833d-f64a8e858c20,stripe,GBP,proto-m,VAT,10/2/2025,PR
738.81,projectA,a42dabdd-8a80-4940-b85b-7f2597a9cb4e,FS Acquiring,GBP,ninja corp,SALE,10/8/2025,IQ
353.29,projectC,f52f3501-1a07-47a0-9a8a-5558e9c63506,Nuvei,USD,ninja corp,CHARGEBACK,10/1/2025,VA
576.62,projectC,96a7159f-aa71-426a-af12-a15bc0a918e6,stripe,EUR,ninja corp,REFUND,10/6/2025,FK
586.08,projectB,7787e5b6-dafd-4eda-843a-bb4250babb49,Nuvei,GBP,proto-m,SALE,10/19/2025,NO
12.99,projectC,7bc6e21f-1630-4795-b9cf-1cfd9fdab859,FS Acquiring,USD,proto-m,SALE,10/29/2025,TG
45.8,projectC,6610589f-2b0b-4b9b-b261-78006bc949e7,Nuvei,USD,proto-m,CHARGEBACK,10/16/2025,SD
340.79,projectC,66c551f4-2e6a-4db0-a5af-7354c58c69ce,FS Acquiring,GBP,proto-m,CAPTURE_FEE,10/3/2025,SG
95.03,projectB,49350a7e-8c7d-4b6f-9ce8-b64bbe2de26b,FS Acquiring,EUR,metasa-m,REFUND,10/9/2025,SN
631.43,projectC,a1b29eed-ab25-478b-ae13-0442f9336ebc,FS Acquiring,USD,metasa-m,CAPTURE_FEE,10/29/2025,CF
967.46,projectA,dc2eefbe-14f6-41dc-a43f-cd7cb5d35090,stripe,EUR,ninja corp,SALE,10/18/2025,LY
989.8,projectB,3b258e6f-4ed0-4003-a735-18e658875439,stripe,USD,proto-m,REFUND,10/2/2025,AD
649.29,projectB,b205fa91-3b28-4e81-b03d-7a028305febd,FS Acquiring,GBP,ninja corp,CAPTURE_FEE,10/10/2025,SB
95.99,projectC,724ece0c-254b-4d1e-b1af-055149c9f207,stripe,EUR,proto-m,CHARGEBACK,10/1/2025,CF
275.65,projectB,f346f273-02da-4f67-a4e3-ce89b243b1f6,FS Acquiring,USD,metasa-m,REFUND,10/10/2025,NZ
41.53,projectA,73ee8407-7375-4d29-ae21-584fb79b2fcb,stripe,GBP,ninja corp,CAPTURE_FEE,10/9/2025,GM
246.46,projectA,649f3f9b-fbfd-4bdf-a728-d1f429fc8fcd,stripe,GBP,proto-m,CHARGEBACK,10/1/2025,HN
585.47,projectB,4a38f14a-1358-4eba-bf3c-52c291d6f67c,Nuvei,GBP,proto-m,VAT,10/19/2025,GA
947.24,projectC,8537d5bf-11e4-44bc-8449-94f2c8046f83,stripe,USD,proto-m,REFUND,10/11/2025,VA
59.11,projectC,412596d5-a6a9-4f08-9828-6f32bb87d7f5,Nuvei,GBP,metasa-m,CAPTURE_FEE,10/1/2025,RE
181.36,projectC,891123b1-c1d9-452d-8cdf-cc65178774bf,stripe,USD,ninja corp,SALE,10/28/2025,UY
539.27,projectC,1cef04bd-bb33-42b2-a142-cfcd98713ea2,Nuvei,USD,ninja corp,VAT,10/26/2025,SJ
549.07,projectA,cf9f239b-4a23-4087-a3ff-c9a3fddf2c89,stripe,USD,metasa-m,SALE,10/18/2025,KZ
22.53,projectC,fd500f89-e6d2-4d37-ae5c-21b01b32ba75,stripe,GBP,proto-m,DISCOUNT_FEE,10/28/2025,IO
126.4,projectA,9df8812e-62df-4c33-88dd-bbde3d4dd202,stripe,EUR,proto-m,SALE,10/10/2025,ST
661.6,projectA,643545d1-e99c-46ff-b280-b7a6d1280b51,Nuvei,GBP,metasa-m,SALE,10/5/2025,EG
178.61,projectA,ae713c9d-039b-4178-8fe7-7894c2957b51,stripe,GBP,metasa-m,CHARGEBACK,10/23/2025,NG
995.76,projectA,cf9fa469-1209-4cba-b87b-ab13fd966e53,FS Acquiring,USD,metasa-m,CAPTURE_FEE,10/23/2025,BI
55.09,projectB,348c2e98-fcf9-43e9-8605-52c362601642,stripe,USD,ninja corp,CHARGEBACK,10/18/2025,ZA
979.79,projectA,2bf3608a-3465-43e9-b614-45c96c560cac,FS Acquiring,GBP,metasa-m,SALE,10/3/2025,SZ
307.92,projectC,43a4208d-32d0-4a67-af84-a5ab89715335,stripe,EUR,proto-m,REFUND,10/10/2025,KP
860.19,projectA,87f7a417-57db-4c74-bcd8-40d0da676f72,stripe,GBP,metasa-m,CAPTURE_FEE,10/19/2025,MG
33.12,projectC,22d109a4-2bd4-400e-be4d-fde1f30f3c33,FS Acquiring,USD,proto-m,VAT,10/24/2025,TW
915.01,projectC,f37f8d3e-928d-4458-9d19-a5eb7bc0430e,Nuvei,GBP,metasa-m,SALE,10/4/2025,YT
129.76,projectB,717adc19-b06e-486e-81d8-f007314e51be,FS Acquiring,EUR,metasa-m,CAPTURE_FEE,10/21/2025,MZ
32.31,projectC,49267130-6ec6-4e5f-a6be-d82bada5af86,FS Acquiring,EUR,ninja corp,CHARGEBACK,10/31/2025,KM
136.16,projectC,7736bb6f-52fb-4aec-b4b8-222917623f52,Nuvei,GBP,metasa-m,DISCOUNT_FEE,10/1/2025,AT
532.43,projectB,1f21d6c8-8cd4-45a4-a61c-1eb5a38e332d,FS Acquiring,USD,metasa-m,DISCOUNT_FEE,10/29/2025,ML
598.07,projectC,698b7283-a8cd-4074-a4e4-60fb5f194209,stripe,USD,proto-m,CAPTURE_FEE,10/30/2025,ML
264.61,projectC,6dfad797-59e1-4241-809a-0f3ae64e2d28,FS Acquiring,GBP,ninja corp,SALE,10/12/2025,PE
116.66,projectC,689fe3b1-e007-415c-bb72-4de08976a56c,stripe,GBP,metasa-m,CHARGEBACK,10/1/2025,BD
90.45,projectB,a59650fd-067e-42de-8e82-3e618fe96f32,stripe,EUR,metasa-m,SALE,10/27/2025,CO
444.48,projectA,d3c3f10c-e6d7-41ce-9aa3-c5d312ee5425,Nuvei,GBP,metasa-m,SALE,10/13/2025,MF
658.96,projectA,30021094-3d12-4e7e-9bba-f3be0a2ab47e,FS Acquiring,GBP,ninja corp,DISCOUNT_FEE,10/25/2025,UM
683.46,projectC,a264d326-cdfe-4792-adb4-19abe5248cc6,stripe,GBP,metasa-m,VAT,10/30/2025,AU
136.81,projectC,b350061a-4461-4b4c-b33f-fa48144ed3b6,FS Acquiring,USD,proto-m,SALE,10/13/2025,JP
447.88,projectC,30ca8b12-1b7e-46cf-b5a4-d64ab4f9dfc5,Nuvei,GBP,metasa-m,SALE,10/24/2025,FR
642.94,projectA,86b819eb-a306-42a3-918c-ccb472285912,Nuvei,USD,metasa-m,SALE,10/28/2025,BM
403.87,projectA,10da7234-7ded-406f-bc2e-2538ce3530de,FS Acquiring,USD,metasa-m,SALE,10/29/2025,UZ
411.25,projectB,a59d05b3-fb73-4be1-a7b4-2980af84c394,Nuvei,EUR,metasa-m,SALE,10/8/2025,KW
942.17,projectC,25851e5f-fcc4-4b49-bffa-e501ac8319a0,stripe,EUR,proto-m,CAPTURE_FEE,10/15/2025,HM
485.84,projectC,e99006b1-724f-4ba9-a94b-3bbec27eb919,stripe,USD,metasa-m,SALE,10/9/2025,GY
162.27,projectC,216c8af2-796c-472f-a22a-8967ee80f627,Nuvei,EUR,proto-m,CAPTURE_FEE,10/11/2025,BS
856.29,projectC,6ec0b32f-7b04-432b-afc5-b4e702752058,FS Acquiring,EUR,metasa-m,DISCOUNT_FEE,10/15/2025,TJ
961.45,projectB,e4f5b5b2-4bbd-4d2c-927b-eb7794ef18b1,FS Acquiring,USD,ninja corp,CHARGEBACK,10/30/2025,SN
732.25,projectA,76396c40-fa5f-46b5-8f6c-a7196fa35225,stripe,USD,ninja corp,CHARGEBACK,10/15/2025,PK
592.98,projectC,c3455389-4eb1-4195-a5d9-8b793b8f2080,FS Acquiring,GBP,proto-m,CHARGEBACK,10/28/2025,NU
551.37,projectC,3bf7a1c1-e1c8-4318-98c2-7a8acd6567c1,FS Acquiring,USD,metasa-m,CHARGEBACK,10/15/2025,UY
544.88,projectA,af38d15b-9a09-4ec4-8105-588ca4b19c25,Nuvei,EUR,metasa-m,CAPTURE_FEE,10/29/2025,TM
324.59,projectA,7fecac22-a1ca-4537-8631-e4eb339c941f,Nuvei,GBP,proto-m,CAPTURE_FEE,10/12/2025,ER
498.64,projectC,7df00839-a731-4f62-b752-d96f12fdc749,stripe,USD,ninja corp,CAPTURE_FEE,10/24/2025,UA
106.97,projectA,d94d2e20-714e-4142-a90a-5077e75ba329,Nuvei,USD,ninja corp,REFUND,10/26/2025,GR
212.51,projectC,ea2988ef-2af7-451b-8881-fa4221510b3c,stripe,USD,metasa-m,DISCOUNT_FEE,10/4/2025,NF
